,Date Created,Number of Likes,Source of Tweet,Tweet,Sentiment
53,2022-11-20 23:41:26+00:00,0,Twitter for iPhone,@ARmastrangelo @Cernovich He’s being ridiculous. No excuse for #QatarWorldCup2022 #MiddleEast should’ve never hosted. #WorldCup2022,negative
54,2022-11-20 23:41:20+00:00,6,Twitter Web App,"MUST WATCH: English lads tell incredible story about partying at the Sheikh’s son’s house with exotic animals while on the hunt for beers in Qatar 😂

#WorldCup | #WorldCup2022 
https://t.co/4WS13KNxPO",positive
55,2022-11-20 23:41:12+00:00,1,Twitter for Android,@elonmusk Maybe @realDonaldTrump is just letting Twitter survive the #WorldCup2022 before the real stress test.,neutral
56,2022-11-20 23:40:47+00:00,0,Twitter for Android,"if u look for the truth about something go to there sources not  sources of there enemy or at least two of them not like what western media shows 
#hypocrisy 
#WorldCup2022 #Qatar2022 #QatarWorldCup2022 
#West #HumanRightsViolations",negative
57,2022-11-20 23:40:14+00:00,1,Twitter for Android,"No matter what will be #England and #iran #WorldCup2022  outcome , the things is football stand here as a fair game and to see how world react to iran situtaion! and sending message around the world for young poeple in particular to see that inclucivity is very important",neutral
58,2022-11-20 23:39:24+00:00,0,Twitter Web App,Hey @MarinaMarraco Can you feel the intensity of #WorldCup2022 in here? Are the @WashWizards having a good time at @CapitalOneArena?,positive
59,2022-11-20 23:39:07+00:00,3,Twitter for iPhone,This is my #usmntxi - let’s go ⁦@USMNT⁩ #USA #Qatar2022 #worldcup2022 https://t.co/8PJAAwPWep,positive
60,2022-11-20 23:39:03+00:00,0,Twitter Web App,https://t.co/Hl7BxTYlh3 Fifa World cup day one- Qatar 0 - Ecuador 2 #WorldCup2022  #FIFAWorldCup2022  #Qatar2022  #EcuadorvsQatar  #CR7𓃵,neutral
61,2022-11-20 23:39:00+00:00,2,Twitter for iPhone,"We’re open early at 12 on Monday for the England vs Iran game
#WorldCup2022 #FIFAWorldCup2022   #notfifabychoice https://t.co/AcMIZFCali",neutral
62,2022-11-20 23:38:56+00:00,37,TweetDeck,"During the #WorldCup2022 please take just a moment on #WorldChildrensDay to consider how the other half lives, or more appropriately...  dies.    Every child deserves a fair shot at life with the necessary food, shelter, clothing and education to succeed. https://t.co/DuHaDu0y9k",neutral
63,2022-11-20 23:38:45+00:00,0,Twitter Web App,#WorldCup2022  Cup 2022: How to watch the matches online and on TV - NPR - https://t.co/nWrLmJH82M #GoogleAlerts,neutral
64,2022-11-20 23:37:40+00:00,0,Twitter for Android,"Thank you for all 💜
#WorldCup 
#WorldCup2022 
#JUNGKOOKxFIFA 
#JungkookAtFIFAWorldCup https://t.co/NqPB3W4kAN",positive
65,2022-11-20 23:37:32+00:00,1,Twitter for iPhone,"This celebration is breaking controllers in Fifa 🔥
Best world cup opening ever!! 
#SouthAfrica2010 #Qatar2022 #WorldCup2022 https://t.co/3kduwSuhfT",positive
66,2022-11-20 23:36:58+00:00,0,Twitter for Android,"The #WorldCup2022 being held during the winter is strange, but it's helping me cope with @AustinFC withdrawals.",neutral
67,2022-11-20 23:36:55+00:00,1,Twitter for iPhone,#WorldCup2022 Just begun❣️⚽️😍 https://t.co/ssNagiAx3m,positive
68,2022-11-20 23:36:42+00:00,7,Twitter for iPhone,"$og OG Fan Token is oficially the coin with less market cap listed on binance ( less than 5M ) lWhales are very welcome 

#BTC #BUSD #ETH #WorldCup2022",positive
69,2022-11-20 23:36:37+00:00,0,Twitter for iPhone,The real champions! #IranRevoIution #FIFA #WorldCup2022 #ChildrensDay #Fifa22 #FIFAWorldCup #FIFAWorldCup2022 https://t.co/uKZIYkdiM2,positive
70,2022-11-20 23:36:29+00:00,0,Twitter Web App,#WorldCup2022 one thing I learned yesterday is 90% of the so called Football fans  are oblivious to the Offside rule 🤦🏾‍♂️,negative
71,2022-11-20 23:36:12+00:00,0,Twitter Web App,"Ian Wright: ""I'd take the fine for that [wearing the armband]"".

And a yellow card, Ian?

Nah. Lol.

#ITVFootball #WorldCup #WorldCup2022",neutral
72,2022-11-20 23:34:48+00:00,0,Twitter Web App,@TSN_Sports Will those of us in Canada who can't watch #WorldCup2022 games live be able to access them on demand through TSN?,neutral
73,2022-11-20 23:33:51+00:00,0,Twitter for iPhone,Wear the band @HKane 🥰 #WorldCup2022,positive
74,2022-11-20 23:33:02+00:00,1,Twitter for Android,"@England @wembleystadium Come on England ♥️♥️♥️♥️♥️♥️♥️
Bring it home 🙌 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿 #FIFAWorldCup #WorldCup2022 #QatarWorldCup2022 #ThreeLions #England",positive
75,2022-11-20 23:32:37+00:00,0,Twitter for Android,"😬😬  Qatar spent all their money on building the stadium/infrastructure for #WorldCup2022 etc, but forgot about investing some $$ in to the football/the team itself
😂😂
Ecuador 2-0 Qatar 

#EcuadorvsQatar
#FIFAWorldCup https://t.co/Q2bIf84jkG",negative
76,2022-11-20 23:32:07+00:00,0,Twitter Web App,Journey of the Soul by Sam Oputa https://t.co/dKswQq4v9C … … via @amazon #tuesdaymotivations #Tuzak #SIGUEME #SiguemeYTeSigo #TuesdayFeeling #pastlives #pastlife #AfterLife #SaturdayMorning #tuesdayvibe #TheErasTour #SaturdayVibes #WorldCup2022 #Reincarnation #Soul #Artsuki,neutral
77,2022-11-20 23:31:57+00:00,0,Twitter Web App,I'm in on the Gaffer's #WorldCup2022 Sweepstakes where supporting an underdog is a winning strategy! ⚽ From @MartianPLeague #GaffersUnderdogs https://t.co/G61jlvnKYT,positive
78,2022-11-20 23:31:12+00:00,17,Twitter for iPhone,"I’m impressed that #WeGoTakeThatCup &amp; #TeamCameroon  is trending.. Cameroon 🇨🇲 certainly knows how to make an entrance. 
Y’all i introduce Cameroon to the world.✊🏾
#WorldCup2022 #Qatar2022 #FIFAWorldCup2022 https://t.co/O4kv6ROvsl",positive
79,2022-11-20 23:31:10+00:00,1,Twitter Web App,@TSN_Sports I want a refund for my subscription since no one supported me in watching the World Cup today as i am a subscriber and cannot watch as I was promised !!! #TSNDirect  #WorldCup2022,negative
80,2022-11-20 23:31:10+00:00,3,Twitter for iPhone,"@Juezcentral: The history of Hernán Galindez, goalie of Ecuador | 🧵 

“Hernan Galindez was born in Rosario, Argentina. He is 35 years old and is from the same generation of Lionel Messi and Angel Di Maria (both born in 1987 &amp; 1988 respectively)…”

#WorldCup2022 https://t.co/UtKEZlf4lx",neutral
81,2022-11-20 23:31:02+00:00,0,Twitter Web App,"Curating a list of some of the best football (soccer, if you are reading in the US) journalists around the world.

https://t.co/S9fv2SSjdw

This is FAR from comprehensive and looking at you for suggestions for other writers (in English) please. Will keep adding.

#WorldCup2022",neutral
82,2022-11-20 23:30:49+00:00,2,Twitter for Android,"The #WorldCup2022 in Qatar is obviously a disgrace, but we shouldn't forget that the previous edition was held in Russia.",negative
83,2022-11-20 23:30:06+00:00,0,Salesforce - Social Studio,"Good luck to the U.S. men's national soccer team today as they kick off the 2022 #WorldCup against Wales!

#worldcup2022 #emergencyservice #water #mold #fire #hazardcleaning #waterdamage #disastercleanup #commercial #residential #construction #restoration #ordorremoval #SERVPRO https://t.co/XrJmzT8Bt8",positive
84,2022-11-20 23:30:06+00:00,0,Salesforce - Social Studio,"Good luck to the U.S. men's national soccer team today as they kick off the 2022 #WorldCup against Wales!

#worldcup2022 #emergencyservice #water #mold #fire #hazardcleaning #waterdamage #disastercleanup #commercial #residential #construction #restoration #ordorremoval #SERVPRO https://t.co/Bt2Pb3Zza4",positive
85,2022-11-20 23:30:06+00:00,0,Salesforce - Social Studio,"Good luck to the U.S. men's national soccer team today as they kick off the 2022 #WorldCup against Wales!

#worldcup2022 #emergencyservice #water #mold #fire #hazardcleaning #waterdamage #disastercleanup #commercial #residential #construction #restoration #ordorremoval #SERVPRO https://t.co/JduYly6wur",positive
86,2022-11-20 23:29:54+00:00,6,Twitter for Android,The golden maknae killing the world cup stage. 🔥💜#BTSJUNGKOOK #WorldCup2022 #QatarWorldCup2022 https://t.co/44hbVKMT84,positive
87,2022-11-20 23:29:43+00:00,1,Twitter for Android,"Up next to the #netherlands  vs  #senegal  for their first game of #WorldCup2022 🇶🇦

#WorldCup2022
#FIFAWorldCup2022 
#WorldCup
#Qatar2022 https://t.co/ZcKEKKHSQG",neutral
88,2022-11-20 23:29:20+00:00,0,Twitter for iPhone,"See #كأس_العالم_قطر_2022 
İslam #WorldCup2022 
#ennervalencia𓃵 https://t.co/AOfMKxqZSc",neutral
89,2022-11-20 23:29:17+00:00,2,Twitter for iPhone,Can’t wait! So excited so proud.. the world is in for a surprise #GoCanada🇨🇦 #WorldCup2022 https://t.co/Jr5BEYerUf,positive
90,2022-11-20 23:29:09+00:00,12,Twitter for Android,"A little over $13000 in transactions one day since we launched our #Web3 fantasy management platform https://t.co/DGGWG92U45 Probably users keep falling for the design of our logo provided by @logologydesign by @dagorenouf 😊
#crypto #blokchain #p2e #WorldCup2022",positive
91,2022-11-20 23:28:40+00:00,0,Twitter for iPhone,USA &amp; England &amp; Netherlands all play tomorrow #WorldCup2022,neutral
92,2022-11-20 23:28:27+00:00,0,Twitter Web App,"I don't think Nahuel Molina is that great, but besides him, I'm excited to see what #Argentina can do in the #WorldCup2022",positive
93,2022-11-20 23:28:24+00:00,1,Twitter for iPhone,I didn’t know jungkook was about to perform today. When I saw him on live I was shocked 😭🤣🤣 #WorldCup #Qatar2022 #WorldCup2022 #JUNGKOOKxFIFA #FIFAWorldCup2022,positive
94,2022-11-20 23:27:53+00:00,0,Twitter Web App,"Efootball 2023 - ao vivo na Twitch Brasil - 

https://t.co/ulPgVzb9DL

#CopadoMundo - #WorldCup2022 - #eFootball2023",neutral
95,2022-11-20 23:27:13+00:00,0,Twitter Web App,"@GBNEWS The complete unsuitability of #Qatar to host #WorldCup2022 is only part of the problem. There are also unaswered questions as to why it was awarded to them and following the removal of the profoundly suspect Blatter, why the current leadership allowed it to continue.",negative
96,2022-11-20 23:26:58+00:00,2,Twitter for iPhone,"The AFCON 2019 opening ceremony in Egypt was better than that of the 2022 World Cup in Qatar.
The Pharaohs’ Golden Parade seemed it emerged from the time of Ancient Egypt to modernity.
Qatar has no identity, despite all the budget spent.

#Egypt #WorldCup #WorldCup2022 #Qatar2022 https://t.co/m1oTAbaUcT",positive
97,2022-11-20 23:26:24+00:00,0,Twitter for Android,"Fireworks at the FIFA World Cup Qatar 2022 opening ceremony.

#FIFAWorldCupQatar2022 #FIFAWorldCup2022 #WorldCup2022 #Qatar2022 https://t.co/tU7Ncxz1tR",neutral
98,2022-11-20 23:26:19+00:00,0,Twitter Web App,"@TheSun I thought we were a ''union of Equals'' ?
You have over 20 articles on England and nothing on Wales. you cover Wales too so why is not getting the same #WorldCup2022 coverage? Looks like they are being deliberately excluded. @WalesFootieFans",negative
99,2022-11-20 23:26:13+00:00,20,Twitter for iPhone,Ehh why not went and got the 2022 #cro since the #WorldCup2022 started today #cro #crofam #Qatar2022 https://t.co/54oRsv76zH,neutral
100,2022-11-20 23:25:21+00:00,0,Twitter for Android,Now this #NFL.#Parlay needs #Kelce ATD. #Kaepernick #Kyrie #Kanye #WorldCup2022 #Truth End #WhiteSupremacy https://t.co/Ab6M3D1eED,neutral
101,2022-11-20 23:25:14+00:00,11,Twitter Web App,The Men's squad give their #WorldCup2022 predictions. Who are you picking to lift the trophy? https://t.co/Cce5Z9EhFe,neutral
102,2022-11-20 23:25:10+00:00,6,Hootsuite Inc.,Outrage as BBC snubs Qatar #worldcup2022 opening ceremony https://t.co/c6i2TA5Afs,negative
103,2022-11-20 23:25:07+00:00,5,Twitter for iPhone,Literally moving meetings around at the @pterrys office tomorrow to make sure we can watch the @ussoccer match. #WorldCup2022 #priorities 🌎🏆⚽️,positive
104,2022-11-20 23:24:59+00:00,0,Twitter Web App,"Explanation of Enner Valencia's goal which was disallowed for offside. It wasn't Enner Valencia who was offside, but Michael Estrada. His feet are already more advanced than the goalkeeper. 

#QatarWorldCup2022 
#Qatar 
#FIFAWorldCup 
#WorldCup 
#WorldCup2022 
#Ecuador https://t.co/yLbL2G9rxB",neutral
105,2022-11-20 23:24:49+00:00,0,Twitter for Android,I'll say it as many times as necessary. The blatant homophobia in the football community is just sickening. Im keeping Qatar out of this conversation. Its everywhere. Even in my own country the comments under most football posts about gay people are disgusting... #WorldCup2022,negative
106,2022-11-20 23:24:18+00:00,0,Twitter for iPhone,"#ICYMI: The #WorldCup2022 comes to Fletcher TOMORROW ⚽️🏆 

Don’t miss your chance to join our #SportsDiplomacy Conference featuring 12 of the world's most prominent experts in sports, politics, and foreign affairs! 

Register today ⤵️
https://t.co/cixhvjEKLS https://t.co/yNGwBeUKWh",positive
107,2022-11-20 23:24:18+00:00,5,Twitter for iPhone,"Best article I’ve read to date on #WorldCup2022. We’ll talk soccer…ah…futbol, the World Cup &amp; Qatar tomorrow at 9:30 on The @allbaughshow on @CivicMediaUS via the Civic Media Ap on #WRCE &amp; radio on #WRCE, WXCE @LakeAirRadio &amp; WXCO @BullFallsRadio. https://t.co/QYxXCz0hw2",positive
108,2022-11-20 23:23:08+00:00,0,Twitter Web App,Which country do you think will win the World Cup? #WorldCup #WorldCup2022 https://t.co/g2x6xNE6FE,neutral
109,2022-11-20 23:23:03+00:00,0,Triberr,Love sexy #soccer players? Grab your #FREE #football #erotic #romance ebook here! #worldcup2022 #alphamale https://t.co/4SC5ez1cea via @lily_harlem https://t.co/ikrBye4Kzk,positive
110,2022-11-20 23:23:00+00:00,0,Twitter for iPhone,"@BBCSport @alanshearer @AlexScott Possible solutions for the BBC 

1) Presenters donate their salary to charity so they are not profiteering off a World Cup they find this problematic 

2) Present from London

3) The BBC could refuse to show any World Cup matches 

Until then talk is cheap #WorldCup2022",neutral
111,2022-11-20 23:22:54+00:00,0,Twitter for Android,"does anyone find it weird?
#WorldCup2022
#WorldCup
#FIFAWorldCup   
#QatarWorldCup2022 https://t.co/QcTEkjDubh",neutral
112,2022-11-20 23:22:45+00:00,0,Twitter for Android,World cup got no hype because no @shakira song. #WorldCup2022,negative
113,2022-11-20 23:22:42+00:00,0,Twitter for Android,"Watch this and tell me how the west has any right to question the morality of this #WorldCup2022

Watch the games and 🤫 #Hypocrites https://t.co/guywhjdzj2",negative
114,2022-11-20 23:22:34+00:00,11,Twitter for iPhone,The Qatar Goalkeeper today #WorldCup #WorldCup2022 https://t.co/XOzfwKH93s,neutral
115,2022-11-20 23:22:33+00:00,13,Twitter for Android,Scroll down family! click that #BallsOfCrypto and find out more!! #WorldCup2022 @cryptocom @cryptocomnft @LoadedLions_CDC #crofam #loadedlions https://t.co/Wqt390CUpF,neutral
116,2022-11-20 23:21:32+00:00,0,Twitter for Android,"Exciting things are happening at #Sporten headquarters🎉🎈🎊. 

Don’t miss the opportunity and see you at the #WorldCup2022  ⚽️!!!!

#FIFAWorldCupQatar2022 #QatarWorldCup2022 #Airdrop $BALL https://t.co/H7OS38KgZG",positive
117,2022-11-20 23:21:24+00:00,0,Twitter for iPhone,@BBCSport absolutely disgraceful not to show the #WorldCup2022 opening ceremony today - what happened to unbiased media? Absolute racism at it’s core @BBCNews @BBCOne,negative
118,2022-11-20 23:20:34+00:00,0,Twitter for Android,"Qatar World Cup 2022, Get Your Visa Now .. Link in my bio .
#QatarWorldCup2022 #WorldCup2022 #WorldcupQatar2022 #Qatar2022 #WorldCup https://t.co/J1h6JisSNr",neutral
119,2022-11-20 23:20:33+00:00,0,Twitter Web App,Senegal? Ghana? Morocco? Which African team has the biggest potential at the #WorldCup2022  Cup? - https://t.co/jnwbsPCe1n #GoogleAlerts,neutral
120,2022-11-20 23:20:30+00:00,2,Twitter for Android,SOCCER - Maddison and Walker to miss #England v #Iran says Southgate - @_Hadebe_101 @mfanafu43463007 @Celo_nyawose @FaneleMbuyazi8 @lepidipidi @EggsBenedictZA @AndreH_NZ - #Football #Soccer #WorldCup2022 #Qatar  https://t.co/s7zH5cjJvA,neutral
121,2022-11-20 23:19:56+00:00,9,Twitter for Android,"jungkook did the choreo so stunning 🥺

#JungKook #방탄소년단
#FIFAKOOK
#Dreamers2022
#JungkookInQatar
#FIFAWorldCup
#QatarWorldCup2022
#WorldCup2022
#JungkookAtFIFAWorldCup
https://t.co/bm557jlr7w",positive
122,2022-11-20 23:19:44+00:00,0,Twitter for Android,"Up next to the #threelions    for their first game of #WorldCup2022 

#England 
#WorldCup2022 
#FIFAWorldCup       
#worldcup
#qatar2022    

@ Khalifa International Stadium https://t.co/3Enj2389jq",neutral
